,EMPLOYEE_ID,RATINGS_2021,JOB_FAMILY_GROUP,MANAGER_ID,GENDER,TERMINATION_TYPE,STATUS,JOB_PROFILE_NAME,JOB_FAMILY_DESC,WORK_ADDRESS_COUNTRY,engagement_score,risk_score,Promotional_Opportunities,Relationship_with_manager
4469,1272886.0,Not Rated,Information Technology,1250606.0,Male,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,85,0.6649546494669695,-9999.0,-9999.0
4470,1258601.0,Not Rated,Human Resources,856050.0,Female,None,Active,HRSS Operations Analyst,HR SHARED SERVICES OPERATIONS,India,64,0.7711793108086141,-9999.0,-9999.0
4471,1237273.0,On Track,Human Resources,1175111.0,Female,None,Active,Senior HR Management Leader,HR MANAGEMENT,Spain,70,0.2971893847387176,-9999.0,-9999.0
4472,1235043.0,On Track,Finance,616955.0,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,United States of America,64,0.4839420469680712,-9999.0,-9999.0
4473,1048381.0,On Track,Finance,525934.0,Female,None,Active,Staff Accountant II,GENERAL ACCOUNTING,Germany,60,0.4238793719354451,-9999.0,-9999.0
4474,1256084.0,Not Rated,"Legal, Compliance & Risk",1028042.0,Male,None,Active,Counsel,ATTORNEYS,Japan,90,0.8910650395085229,-9999.0,-9999.0
4475,829674.0,On Track,Information Technology,841510.0,Male,None,Active,Supervisor - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,Peru,70,0.3676480499922596,-9999.0,-9999.0
4476,1158738.0,On Track,"Legal, Compliance & Risk",521902.0,Female,None,Active,Lead Specialist - Business Resiliency,BUSINESS RESILIENCY,India,73,0.2892732474883547,-9999.0,-9999.0
4477,1173750.0,On Track,Finance,1172705.0,Male,None,Active,Analyst - Accounting Operations,ACCOUNTING OPERATIONS,India,82,0.4247352162032426,-9999.0,-9999.0
4478,862409.0,Stand Out,Finance,707933.0,Male,None,Active,Region Controller II,REGIONAL CONTROLLERSHIP,United Kingdom,85,0.2723727505845681,-9999.0,-9999.0
4479,1275220.0,Not Rated,Information Technology,846603.0,Male,None,Active,Team Lead - IT Project Management,IT PROJECT MANAGEMENT,India,87,-9999.0,-9999.0,-9999.0
4480,1237127.0,On Track,Finance,616955.0,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,United States of America,64,0.4785399223654203,-9999.0,-9999.0
4481,829606.0,On Track,Information Technology,620916.0,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,14,0.4843217172603127,-9999.0,-9999.0
4482,778192.0,On Track,Information Technology,1011344.0,Male,None,Active,Lead Specialist - Desktop Engineering,IT DESKTOP ENGINEERING,United Kingdom,54,0.1788289948444484,-9999.0,-9999.0
4483,836052.0,On Track,"Legal, Compliance & Risk",1022742.0,Male,None,Active,Deputy Chief Compliance Officer - Corporate / OpCo Chief Compliance Officer,COMPLIANCE MANAGEMENT,United States of America,95,0.1991124643172102,-9999.0,-9999.0
4484,1256896.0,Not Rated,Finance,1170354.0,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Poland,7,0.6890362362906092,-9999.0,-9999.0
4485,1258192.0,Not Rated,Finance,1203980.0,Male,None,Active,Senior Specialist -FP&A,FINANCIAL PLANNING & ANALYSIS,India,14,0.6228525379663373,-9999.0,-9999.0
4486,1256104.0,Not Rated,Information Technology,1215692.0,Male,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,76,0.846867546988929,1.0,1.0
4487,1273066.0,Not Rated,Finance,1178092.0,Male,None,Active,Administrator - Accounting Operations,ACCOUNTING OPERATIONS,Malaysia,59,-9999.0,-9999.0,-9999.0
4488,1237071.0,On Track,Information Technology,834285.0,Male,None,Active,Senior Analyst - Onsite Technical Support,ONSITE TECHNICAL SUPPORT,United States of America,82,0.4916474329645356,-9999.0,-9999.0
4489,1256900.0,Not Rated,Information Technology,1227111.0,Female,None,Active,Analyst - IT Product Support,IT PRODUCT SUPPORT,India,10,0.6917308606888662,-9999.0,-9999.0
4490,1258576.0,Not Rated,Human Resources,1187065.0,Female,None,Active,HR Operations Coordinator,HR OPERATIONS,United Kingdom,89,0.6951325928447987,1.0,0.0
4491,1237151.0,On Track,Finance,1123974.0,Female,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Malaysia,28,0.3724276143588491,-9999.0,-9999.0
4492,1256061.0,Not Rated,Information Technology,1154026.0,Male,None,Active,Applications Developer,APPLICATIONS DEVELOPMENT,United States of America,22,0.7892833429683013,-9999.0,-9999.0
4493,1256066.0,Not Rated,Real Estate & Facilities,573792.0,Male,None,Active,Specialist - Real Estate,REAL ESTATE,Australia,25,0.6581461839161028,1.0,1.0
4494,1272984.0,Not Rated,Finance,1158859.0,None,None,Active,Staff Accountant I,GENERAL ACCOUNTING,Malaysia,97,0.8905352768060482,-9999.0,-9999.0
4495,1272983.0,Not Rated,Finance,1178092.0,Female,None,Active,Administrator - Accounting Operations,ACCOUNTING OPERATIONS,Malaysia,59,0.7172174388864807,-9999.0,-9999.0
4496,1256924.0,Not Rated,Information Technology,1212326.0,Male,None,Active,Applications Development Administrator,APPLICATIONS DEVELOPMENT,India,61,0.722203856917698,-9999.0,-9999.0
4497,1173746.0,Stand Out,Operations,1173154.0,Female,None,Active,Analyst - Quality Assurance,QUALITY ASSURANCE,India,83,0.2229189831220856,-9999.0,-9999.0
4498,1237381.0,On Track,Information Technology,1057023.0,Male,None,Active,Analyst - IT Systems Engineering,IT SYSTEMS ENGINEERING,India,59,0.4999589541093746,-9999.0,-9999.0
4499,1264679.0,Not Rated,Human Resources,1183304.0,Female,None,Active,Senior HR Management Specialist,HR MANAGEMENT,Chile,7,0.8244782359763233,-9999.0,-9999.0
4500,1248069.0,On Track,Information Technology,1172908.0,Male,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,38,0.3836072733632115,-9999.0,-9999.0
4501,1248070.0,On Track,Finance,628457.0,Male,None,Active,Senior Specialist -FP&A,FINANCIAL PLANNING & ANALYSIS,United States of America,68,0.4568063069506027,-9999.0,-9999.0
4502,1248068.0,On Track,Information Technology,1172908.0,Female,None,Active,IT Quality Assurance Analyst,IT QUALITY & ASSURANCE TESTING,India,38,0.3860611679421776,-9999.0,-9999.0
4503,1264669.0,Not Rated,Human Resources,1167921.0,Female,None,Active,Global Mobility Specialist,GLOBAL MOBILITY,Singapore,65,0.7971391782853547,-9999.0,-9999.0
4504,1260761.0,Not Rated,"Legal, Compliance & Risk",1014232.0,Female,None,Active,Counsel,ATTORNEYS,Hong Kong,64,0.8719375856472233,-9999.0,-9999.0
